web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771528574-94","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot cane corso","450 000CFA","Colobane, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-3005863"
"1771528574-95","https://sn.coinafrique.com/categorie/chiens?page=9","Berger belge malinois","Prix sur demande","Mamelles, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/berger-belge-malinois-3005565"
"1771528574-96","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Labrador","450 000CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3005026"
"1771528574-97","https://sn.coinafrique.com/categorie/chiens?page=9","Chien cane corso","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-cane-corso-2996181"
"1771528574-98","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Cane Corso","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-2996177"
"1771528574-99","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Rottweiler","300 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2978927"
"1771528574-100","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots boerboels purebreed","400 000CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-boerboels-purebreed-2974090"
"1771528574-101","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots bichons maltais pure race","Prix sur demande","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-pure-race-2972487"
"1771528574-102","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots","150 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-2965558"
"1771528574-103","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Husky 4mois femelle","Prix sur demande","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-husky-4mois-femelle-2962156"
"1771528574-104","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot boerboel","300 000CFA","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-2957371"
"1771528574-105","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Malinois","230 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2951762"
"1771528574-106","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots malinois","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2951499"
"1771528574-107","https://sn.coinafrique.com/categorie/chiens?page=9","Chien Pitbull femelle","300 000CFA","Saint Louis, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-femelle-2950286"
"1771528574-108","https://sn.coinafrique.com/categorie/chiens?page=9","Chien","500 000CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-2949981"
"1771528574-109","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Malinois","300 000CFA","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2946384"
"1771528574-110","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot berger allemand / husky","175 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-husky-2945713"
"1771528574-111","https://sn.coinafrique.com/categorie/chiens?page=9","Berger femelle","160 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/berger-femelle-2939379"
"1771528574-112","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots bolognais","150 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-bolognais-2932610"
"1771528574-113","https://sn.coinafrique.com/categorie/chiens?page=9","Chien Pitbull","170 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-2927795"
"1771528574-114","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Berger Allemand","165 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2923824"
"1771528574-115","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot husky","450 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-husky-2922209"
"1771528574-116","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Husky","450 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-husky-2922194"
"1771528574-117","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Rottweiler","250 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-2920881"
"1771528574-118","https://sn.coinafrique.com/categorie/chiens?page=9","Caniches","100 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/caniches-2913795"
"1771528574-119","https://sn.coinafrique.com/categorie/chiens?page=9","Chien Pitbull","400 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-2898017"
"1771528574-120","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot pitbull","175 000CFA","Saint Louis, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-2896747"
"1771528574-121","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Bichons Spitz Royal","200 000CFA","Saly, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-spitz-royal-2890179"
"1771528574-122","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot rottweiller","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-2882667"
"1771528574-123","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Bichon","111 111 111 111 111 000CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-2877719"
"1771528574-124","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Labrador","200 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-labrador-2877490"
"1771528574-125","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot berger allemand","180 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2864271"
"1771528574-126","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand","350 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2863494"
"1771528574-127","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot mâle Berger allemand","100 000CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-male-berger-allemand-2862580"
"1771528574-128","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot berger allemand / Rottweiller","75 000CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-rottweiller-2861530"
"1771528574-129","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand","150 000CFA","Almadies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2835075"
"1771528574-130","https://sn.coinafrique.com/categorie/chiens?page=9","Bichamon Maltais","250 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/bichamon-maltais-2823458"
"1771528574-131","https://sn.coinafrique.com/categorie/chiens?page=9","Rott royal 10","500 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/rott-royal-10-2812803"
"1771528574-132","https://sn.coinafrique.com/categorie/chiens?page=9","Chien malinois","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-malinois-2795793"
"1771528574-133","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots pitbull","175 000CFA","Saint Louis, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-2795342"
"1771528574-134","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots berger allemand","200 000CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2784090"
"1771528574-135","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Pitbull","160 000CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-2784073"
"1771528574-136","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-2766184"
"1771528574-137","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Bergers allemands pur sang - lignée de travail","250 000CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-pur-sang-lignee-de-travail-2762158"
