web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771529357-93","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","1 200 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/buf-3330908"
"1771529357-94","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruche","24 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruche-3321530"
"1771529357-95","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cailleteaux","400CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailleteaux-3319946"
"1771529357-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Caille","2 500CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/caille-3319937"
"1771529357-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Veaux","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/veaux-3318063"
"1771529357-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie guinéen","100 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-guineen-3316816"
"1771529357-99","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie gardien","90 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-gardien-3316810"
"1771529357-100","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chèvre mâle","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chevre-male-3315646"
"1771529357-101","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","600 000CFA","Niaga, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/vache-3287171"
"1771529357-102","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","600 000CFA","Niaga, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/vache-3287170"
"1771529357-103","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies adultes","130 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-adultes-3273490"
"1771529357-104","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau","450 000CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/taureau-3271377"
"1771529357-105","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau","740 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/taureau-3269989"
"1771529357-106","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau","740 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/taureau-3263210"
"1771529357-107","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Poisson aquarium","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/poisson-aquarium-3256827"
"1771529357-108","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chaton-3254310"
"1771529357-109","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","740 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/bufs-3253864"
"1771529357-110","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruche ondulée","15 000CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-3243586"
"1771529357-111","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/bufs-3240329"
